(280, 340),lt,-4.89371464969
(240, 400),rt,0
(0, 360),up,0
(200, 260),up,-9.49897719348
(200, 320),up,-7.58861170777
(100, 20),rt,0
(140, 340),dw,-8.70765057246
(180, 140),up,-11.709298284
(280, 320),dw,-0.677103076163
(160, 340),dw,-7.71725501792
(260, 0),up,0
(120, 180),dw,-44.5144696934
(80, 40),dw,-53.078086108
(260, 20),lt,0
(360, 60),dw,-12.7721656945
(340, 0),up,0
(20, 240),lt,0
(180, 280),dw,-9.21485536284
(400, 100),rt,0
(120, 20),lt,0
(100, 340),lt,-15.6830874325
(400, 400),rt,0
(160, 100),rt,-11.9336300277
(100, 100),lt,0
(60, 220),dw,-14.0684846814
(340, 20),lt,0
(280, 240),up,0
(100, 60),up,0
(200, 240),dw,-9.90029810197
(140, 20),lt,0
(280, 280),dw,0
(120, 260),lt,0
(120, 140),dw,-12.1767774595
(0, 200),rt,0
(260, 320),lt,-10.3526839121
(60, 260),up,-14.1526808274
(100, 340),dw,-12.5494640348
(120, 340),dw,0
(280, 240),lt,0
(220, 380),up,-6.01867855183
(180, 60),lt,-11.802548229
(160, 320),dw,-8.29179713746
(260, 40),rt,-14.1880527726
(340, 320),rt,94.6784685186
(200, 300),lt,-8.45061610233
(60, 160),rt,-14.2044444195
(220, 280),dw,-6.32088753074
(200, 40),rt,-9.40157752071
(320, 280),lt,0
(380, 120),lt,0
(320, 160),rt,-11.3765754414
(220, 140),lt,-11.5754678136
(200, 180),rt,-11.1331208359
(120, 280),rt,0
(180, 260),dw,-9.70443960074
(120, 380),lt,0
(380, 0),lt,0
(140, 300),lt,-14.2774246011
(40, 220),lt,-31.6239722981
(360, 120),rt,0
(40, 80),lt,-74.2401980342
(340, 260),dw,0
(400, 120),up,0
(160, 120),rt,-11.8888497062
(100, 260),lt,-14.4811749538
(320, 40),rt,-9.65369487569
(200, 260),lt,-9.47075357831
(20, 320),dw,0
(0, 300),rt,0
(140, 320),dw,-7.74808095203
(40, 120),lt,-63.8307670559
(340, 60),rt,-11.9901931868
(340, 40),up,-14.3386391155
(300, 380),lt,-3.12597048326
(400, 160),up,0
(0, 340),dw,0
(140, 400),rt,0
(300, 360),dw,-4.99534181384
(160, 280),lt,-9.34581511228
(300, 240),up,0
(380, 0),up,0
(100, 400),dw,0
(160, 140),lt,-11.8922641251
(100, 300),up,-12.5825227139
(80, 380),up,-12.7795673939
(180, 80),lt,-11.8710046304
(180, 100),dw,-11.8435860674
(260, 400),lt,0
(80, 100),rt,0
(340, 340),lt,-3.96543088329
(280, 300),lt,0
(240, 180),dw,-28.2058411748
(280, 120),lt,-10.2411568597
(120, 200),dw,0
(240, 280),lt,0
(400, 380),rt,0
(300, 300),rt,0
(60, 120),up,0
(140, 100),lt,-12.284322348
(220, 40),up,-19.4991845294
(20, 120),rt,0
(320, 200),lt,0
(260, 180),dw,-27.4896515439
(380, 400),lt,0
(300, 100),up,0
(160, 0),dw,0
(80, 380),rt,-13.0063087074
(320, 220),up,0
(20, 20),dw,0
(240, 300),lt,0
(120, 60),up,-21.2064693541
(140, 400),up,0
(60, 120),rt,0
(60, 80),up,0
(20, 20),rt,0
(100, 220),lt,-13.7128156361
(340, 60),up,-12.0444139593
(360, 80),rt,-14.96253125
(40, 280),dw,-17.5196535233
(200, 180),dw,-11.1362077749
(80, 240),rt,-14.4548275945
(360, 0),rt,0
(40, 100),up,-36.8235760333
(60, 340),rt,-14.0559581214
(280, 300),up,0
(260, 180),rt,-15.1964278594
(180, 120),rt,-11.7864565204
(380, 100),rt,0
(180, 400),up,0
(200, 60),rt,-11.7132038482
(340, 200),lt,0
(300, 300),dw,0
(100, 0),rt,0
(380, 160),lt,0
(160, 140),up,-11.8681296585
